epoch,capsnet_acc,capsnet_loss,decoder_loss,loss,val_capsnet_acc,val_capsnet_loss,val_decoder_loss,val_loss
0,0.5272272713557639,0.40520075515966225,0.04803011624349488,0.42402856039880504,0.5955454536459662,0.40499898073348134,0.036938248439268635,0.41947877393527466
1,0.5600606038564383,0.4049989036086834,0.036523990738534864,0.4193163076886023,0.5925909093835137,0.40499837696552277,0.036071520755914126,0.4191384133967486
2,0.5870303015215228,0.40499748402472696,0.03531002264394604,0.4188390124777351,0.5864999972961166,0.40499652339653536,0.034531031574376606,0.4185326863418926
3,0.5939444435515789,0.40498721321122816,0.034189146993249056,0.418389358800469,0.5961818172173067,0.4049804642796516,0.03361608286980878,0.41815796860239723
4,0.5804292911230916,0.40497275857311305,0.03370683004496375,0.41818583530910086,0.5961818193847482,0.4049369539726864,0.033976585130122576,0.4182557744058696
5,0.5308888869454162,0.40493616660435994,0.03353432504121553,0.4180816217203333,0.44372727139429613,0.40499234985221516,0.03320810100571676,0.41800992556593636
6,0.5477323208342899,0.4049745805636801,0.0333314788095051,0.41804051990761903,0.5961818174882368,0.40493351221084595,0.03329532739960334,0.4179852805354378
7,0.588358583805537,0.4048688801099556,0.033317914096205825,0.4179295019067899,0.43068181587891147,0.4049817371097478,0.03292855681343512,0.41788973090323533
8,0.5698787864561032,0.40480743073152775,0.03334274723787199,0.41787778741181497,0.5123181772502986,0.40497532202438874,0.0330228102224117,0.41792026270519606
9,0.5201919164621469,0.40483024200104706,0.03329687707709393,0.4178826176457935,0.5962272745641795,0.40454139587554067,0.035155259546908464,0.41832225729118694
10,0.4903131300150746,0.40466651630522027,0.03394696100078749,0.4179737248354488,0.4038636349818923,0.40454560044136917,0.03845631817186421,0.41962047585032203
11,0.44244949325467603,0.40351762332097446,0.037151935865933246,0.4180811818500962,0.5761363607915965,0.40480477823452515,0.03470352319153872,0.41840856007554317
12,0.4232323218550947,0.40387471304698425,0.03644221286392874,0.41816006036418857,0.40413636280731724,0.4047853939912536,0.03331400481984019,0.4178444829854098
13,0.5051616151751291,0.4040144153616645,0.035859224886981525,0.4180712311406328,0.5948181798512285,0.404778228700161,0.03786786813288927,0.41962243264371696
14,0.43555050346285407,0.40421595058657905,0.0362002648403774,0.4184064542103295,0.5856818146326325,0.4034128000790423,0.035365768081762575,0.41727618033235725
